function	L1S105	L1S140	L1S208	L1S257	L1S281	L1S57	L1S76	L1S8	L2S155	L2S175	L2S204	L2S222	L2S240	L2S309	L2S357	L2S382	L3S242	L3S294	L3S313	L3S341	L3S360	L3S378	L4S112	L4S137	L4S63	L5S104	L5S155	L5S174	L5S203	L5S222	L5S240	L6S20	L6S68	L6S93
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	4097.58	5022.61	5365.8	3916.45	4243.52	4696.68	3931.66	3040.84	2024.9700000000007	2125.32	4104.219999999998	1736.7099999999996	1881.48	678.8000000000002	1512.5000000000002	1887.9400000000005	412.08	705.6899999999998	548.4699999999998	1141.61	642.34	921.22	5273.669999999999	5366.64	5084.299999999998	1081.96	690.76	1048.77	868.66	1008.2	688.6099999999999	2780.9700000000007	2274.54	3684.45
1.1.1.136-RXN	15.0	58.4	79.4	55.0	61.4	5.0	3.4	6.0	25.47	16.16	9.239999999999998	24.69	165.93	25.4	26.83	44.07	0.0	4.8	5.07	3.69	5.2	8.8	90.4	96.4	213.59	0.0	76.6	22.4	74.6	87.8	61.0	549.4	284.7999999999999	208.8
1.1.1.215-RXN	20.0	48.0	2.0	0.0	4.0	0.0	124.0	173.0	597.0	90.6	1088.37	149.75	121.0	18.38	204.85	26.6	32.0	209.2	16.0	241.33	107.75	11.0	555.75	370.47	199.48	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.1.220-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.0	3.0	7.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	8.0	13.0	8.0	6.0	17.0	29.0	15.0	4.0	56.0	23.0	92.0
1.1.1.251-RXN	20.0	44.0	2.0	0.0	4.0	0.0	124.0	173.0	4.0	22.0	20.0	14.0	2.0	0.0	8.0	0.0	32.0	0.0	2.0	12.0	0.0	6.0	64.0	0.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	86.0	26.0	10.0	216.0	3.0	0.0	4.0	4.0	0.0	21.0	2.0	5.0	73.0	0.0	32.0	19.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.261-RXN	209.0	127.4	290.4	170.0	156.4	233.0	168.0	118.0	17.34	27.34	4.0	11.0	0.0	19.0	8.66	18.66	3.0	4.0	6.66	9.34	0.0	25.8	61.66	14.66	107.5	0.0	0.0	0.0	0.0	0.0	0.0	0.8	0.4	0.0
1.1.1.264-RXN	0.0	36.0	7.0	22.0	11.0	0.0	0.0	2.0	46.7	27.8	13.2	26.67	0.0	2.2	0.4	4.2	0.0	15.4	8.2	15.7	2.87	8.0	38.4	29.0	65.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	1629.4900000000002	4642.65	4345.4	2635.58	2806.65	1922.75	1639.5700000000004	2215.45	118.64	244.86	2277.88	319.36	359.25	92.4	467.42	467.33	332.11	70.0	16.14	553.22	231.0	822.55	1230.48	986.25	853.4499999999998	416.14	108.5	599.5	164.0	400.5	106.0	295.55	268.15	1974.75
1.1.1.289-RXN	15.0	47.0	17.0	19.0	10.0	27.0	24.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.291-RXN	0.0	36.0	7.0	22.0	11.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.292-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.6	0.25	8.75	0.0	1.38	0.6	0.6	0.0	0.0	0.0	0.0	3.25	0.0	0.5	0.0	12.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	1.5	0.0	0.0	0.0	25.0	0.0	0.0	2.0	0.0	1.25	0.0	5.0	74.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
1.1.1.39-RXN	1591.9	1386.56	1556.3	1331.02	1601.22	2062.54	1661.45	1125.55	884.9299999999997	615.74	276.86	441.49	552.9300000000002	351.07	373.9	628.87	141.0	328.4000000000001	209.5	137.24	170.7	252.5	1837.19	1099.96	2593.83	430.12	193.1	291.1	263.77	280.3	206.0	1006.77	781.15	825.4699999999998
1.1.1.43-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	13.0	991.25	30.75	0.0	13.38	201.0	2.0	0.0	3.0	0.0	224.0	65.25	0.0	493.5	8.0	87.75	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.1.53-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	2.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	5.0	0.0	2.0	131.0	27.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.1.83-RXN	27.0	52.0	15.0	3.0	7.0	24.0	154.0	206.0	598.4	95.2	1018.25	181.75	122.0	25.38	213.2	170.7	38.0	199.0	19.0	247.0	113.25	11.0	603.67	815.66	322.95	0.0	0.0	0.0	5.0	0.0	2.0	16.0	2.0	2.0
1.1.3.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	3.5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	6.5	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.1.99.25-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1087.0	95.0	1033.25	91.75	36.0	18.38	204.0	8.0	0.0	367.0	19.0	231.0	85.25	0.0	537.5	42.14	171.75	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.1.99.28-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	6.0	6.0	58.0	0.0	8.0	2.0	9.0	0.0	0.0	2.0	2.0	19.0	0.0	7.0	434.0	37.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.10.2.2-RXN	1.0	4.0	0.0	0.0	0.0	0.0	0.4	0.0	189.40000000000003	119.86	1103.47	388.73	287.6	37.78	237.86	260.79999999999995	0.0	46.2	31.0	263.98	183.45	5.0	657.4	742.33	619.1399999999999	10.2	82.6	29.6	107.6	92.8	67.0	607.6	305.4	302.8
1.11.1.15-RXN	5095.8	9933.76	9428.08	6391.58	6458.919999999999	5991.8	5118.830000000001	6255.83	5294.97	4550.5999999999985	6029.33	2953.5599999999995	3378.6399999999994	1473.0399999999993	2751.28	3760.13	946.0	1876.91	1214.1799999999996	1694.6	1125.8300000000004	1796.8200000000004	10129.69	9493.15	11021.2	2249.2200000000007	1030.62	2102.51	1453.67	2065.54	1190.47	3892.0	4068.88	7717.4000000000015
1.12.1.3-RXN	5178.71	6607.07	6120.57	4267.82	4057.14	5553.8899999999985	5111.96	5324.64	286.42	154.42000000000004	186.3	188.6	108.99	235.0	160.38	291.2999999999999	745.18	58.0	51.08	75.86	38.0	1237.0	544.29	427.75	1721.62	10.24	21.0	33.0	29.17	60.0	9.0	89.17	157.0	155.0
1.12.5.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	4.0	0.0	0.0	46.0	10.0	14.0	84.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	44.0	26.0	16.0	12.0	34.0	58.0	30.0	8.0	112.0	46.0	184.0
1.13.11.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	12.0	35.0	995.0	40.0	0.0	12.0	201.0	2.0	0.0	3.0	2.0	224.0	67.0	0.0	501.0	35.0	92.0	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.13.11.16-RXN	40.0	88.0	4.0	0.0	8.0	0.0	248.0	344.0	12.0	33.6	4.0	17.0	4.0	0.0	0.6	0.6	64.0	2.2	2.0	0.0	0.0	12.0	14.0	0.0	28.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.41-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.49-RXN	0.0	1.5	6.0	3.0	0.0	0.0	0.0	0.0	641.7	831.38	105.15	116.5	342.5	242.54	329.65	274.1	0.0	274.23	264.7	65.2	24.28	0.0	1518.36	808.9200000000002	1513.33	244.0	110.0	214.0	162.0	126.0	145.0	306.0	358.0	390.0
1.13.11.6-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	5.0	104.0	121.0	0.0	5.0	6.0	0.0	0.0	2.0	9.0	9.0	34.0	0.0	4.0	0.0	16.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.13.11.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.7	24.6	996.0	36.0	0.0	13.0	201.6	4.6	0.0	6.0	4.0	224.5	64.0	0.0	495.0	37.0	93.6	0.0	0.0	0.0	2.0	0.0	2.0	0.0	0.0	0.0
1.14.11.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	67.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	26.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.18-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	7.43	7.96	20.04	0.0	1.38	0.43	0.0	0.0	0.0	0.0	2.29	10.25	0.0	11.5	0.0	27.61	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.11.2-RXN	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	45.2	32.6	27.12	122.0	100.0	32.0	8.85	20.6	0.0	12.0	8.0	12.0	32.5	5.0	47.25	459.33	178.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.14.12.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	26.0	2234.0	81.0	0.0	26.0	405.0	32.0	0.0	10.0	0.0	478.0	130.0	0.0	1054.34	36.0	167.0	0.0	0.0	0.0	4.0	0.0	4.0	0.0	0.0	0.0
