sequence	16S_rRNA_Count	metadata_NSTI
0160e14a78b18b903618f11bc732746e	3	0.00015
01b99cb344ed2530f7d80897ffe257a9	1	0.000101
01ce91fd8dbecf637eb5e67cdab5c5aa	1	0.00015
01e0b7ac306895be84179f2715af269b	1	0.00015
02ef9a59d6da8b642271166d3ffd1b52	2	0.28259
0305a4993ecf2d8ef4149fdfc7592603	4	0.000101
047b7fb62a5e9d2711e639ae1cb1519a	1	0.00015
04c7e0ea3038f942f5a28778a74cd1c0	1	0.00015
04fd81a94c775a5906f2d92cf0548e4d	4	0.00015
052128d7d424728578efe7852b0afd0d	1	0.000101
063fa4f5a6fa894f7f8243468324ac5e	1	0.000101
06c3b8c72269d783e9d96b6e71d7469d	1	0.01737
072698f9668d5a094cdc1a672acc4747	1	0.22069899999999998
0741ae033054073fece98b9948ec4387	4	0.000101
07b2b1c3771f46d82c90b20a79fb3d04	1	0.063194
08d28c7e64a698f281bfee4c58a08139	1	0.01676
0a69950e803a5d9e7166c450e44f43cf	1	0.192465
0b820754143a66b42542b838b42d1cae	1	0.127574
0b925631436d3775231b60f9d0011cae	1	0.000101
0bd7addf1b999f01ad58fec8412b8931	1	0.000101
0be23adca941c1335eb04db17dc66e98	1	0.00015
0c4b17f88dae47697d3bceb3663f47ce	1	0.000101
0d7b78d297d61ed4c2cb4df47c5e7ecd	1	0.118477
0dcaf9358eddf685864afb883cdf2363	1	0.169968
0f2a155a57fe6d0bf34767080706b3e1	1	0.000101
0f55566622d8244073432b2e67b24baa	1	0.200006
101968ec709b68fcd964a68ff226dcd1	1	0.495634
10710d3d706451c3536228e4b7d146db	2	0.018895
126d3c82f184c4d9058cab124f287968	1	0.00015
12ed71ced0f4e45c0aa5b37144e6f84b	1	0.038239999999999996
13692c41b4bf5d577c28c278caafcddb	1	0.000101
136e9f5aa470119165e59d202fdb318c	1	0.037607999999999996
1395953fab837ed426f9b2ba24da41b1	1	0.320297
145f11599b92ad3a4c93896b0edf8c0c	1	0.20656
14d168c89e381de6fc3091837a557e48	8	0.000101
154709e160e8cada6bfb21115acc80f5	1	0.000101
160029903cd9c779390f4719179aeea2	1	0.00015
162ed46308ef9dd1600fb0fe7c90b186	3	0.000101
16564bc936c839c893f951bab613a30b	1	0.000101
1685b25b43eb070cd7655de8c2d8c0a4	1	0.073476
171930820a0db82224a948125002bf46	1	0.00015
185df2b73b4805164470dfaea2d05223	1	0.000101
1893b0ad352ee7db0f565bc4594e6dc6	1	0.9746299999999999
1a4ff0ff25ff4e919711422c2f605519	1	0.270296
1a5ff65c7f309159df626f810d96ae8b	1	0.00015
1a8d25f7529d783a219ef689701dd4e2	1	0.283366
1b448e00c078f81e49a61933072345d2	1	0.000101
1b75626f6834620dc2c729a1a81f497a	1	0.000101
1b963d0d7457ac133aed9497f03b5a64	1	0.00015
1c40ac02c49ea9e03881b0f183373417	1	0.038369
1c5a8bb80c37a6f89f50467b3dc2c2a1	1	22.259605
1c7d1f74c2c43b872972f974eb196915	2	0.18911
1ca133f4d30ab344f11e6624e841d9cd	2	0.00015
1d17561d16d803f652b0d6bdd671c1cc	1	0.000101
1d284bea12006c939c03d622ce2abd5e	1	0.054179
1d2e5f3444ca750c85302ceee2473331	6	0.00015
1e9fc37a1112b198ed3d0543db7863c8	1	0.042459
1ea96d595539133266a3dbd49daac1e4	1	0.017087
1edc5497d3daf6d914427d32b71daa52	3	0.10426400000000001
1efd43e712291698f34853dac3b67f54	1	0.00015
1f0a072da4906270a684a389c1586582	1	0.000101
1f50ac250618ced095a2a5c34bae7651	1	0.000101
