pathway	L4S63	L1S140	L1S76	L2S357	L3S360	L1S105	L6S68	L5S174	L1S8	L3S242	L2S309	L5S155	L3S313	L1S208	L5S104	L4S112	L4S137	L5S222	L2S240	L5S240	L1S281	L2S175	L3S294	L1S57	L3S378	L2S204	L2S155	L2S222	L2S382	L5S203	L6S93	L1S257	L3S341	L6S20
1CMET2-PWY	3360.1322	4449.4688	2597.9589	968.2443	446.1939	2581.2413	2017.7613	1098.0986	2704.5095	383.7702	447.0677	480.729	391.1057	4515.264	924.895	3452.3121	3614.3678	1205.1895	1662.1478	554.1817	3493.95	1705.7467	630.0127	3218.4227	809.007	2354.6993	1883.9872	1165.0302	1374.4915	719.4721	3593.1755	3246.1461	694.6053	1891.1902
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	178.7328	0.0	0.0	285.2398	105.7821	0.0	0.0	0.0	3.0949	0.0	20.0004	0.0	6.0302	0.0	0.0	729.7416	66.9348	0.0	0.0	2.8896	0.0	64.7735	8.9333	0.0	0.0	1357.2645	33.5931	76.6447	4.2883	2.8901	0.0	0.0	313.3207	0.0
AEROBACTINSYN-PWY	3.8859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.8222	0.0	0.0	0.0	0.0	0.0	20.267	0.0	0.0	0.0	5.2299	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ALL-CHORISMATE-PWY	1610.4139	197.7663	405.6696	250.2929	124.6596	114.251	112.6116	0.0	655.3471	105.5812	140.4691	0.0	102.1071	13.6793	27.3101	1201.9057	1735.9702	124.5476	130.2667	0.0	26.2237	632.6551	180.2383	0.0	33.4948	340.1265	420.736	472.8495	319.1114	138.1378	311.6655	0.0	175.8668	71.4078
ANAEROFRUCAT-PWY	4978.4207	3634.4062	2888.3781	1071.6472	349.0585	2951.3781	2167.8166	710.4555	2514.0667	368.4239	685.5631	483.6506	529.6935	3952.4094	977.7765	4245.537	3829.904	1116.4342	1706.929	575.1024	3157.8541	1967.3203	577.155	3634.5592	649.9082	1255.2911	1576.1557	1075.2998	1502.7081	741.0698	2724.2331	3008.9484	508.6614	1831.6886
ANAGLYCOLYSIS-PWY	4877.6827	5306.7129	3431.7751	1072.7781	401.7595	3516.1412	2206.214	1026.6635	3623.5143	515.7858	670.8628	488.4782	528.9441	5414.5794	1046.2261	4205.0824	4293.5653	1219.6245	1765.7731	578.2418	4074.5882	2016.3194	619.595	4197.7249	963.9036	1663.6525	1773.2755	1222.1489	1651.9613	759.4562	3684.0816	3944.4892	606.7054	2056.3436
ARG+POLYAMINE-SYN	753.2712	828.4508	1011.503	221.823	155.217	651.2047	513.2861	125.5323	1021.5221	145.7149	117.3556	119.078	87.3774	437.2115	289.7853	930.3808	1324.8873	140.2813	451.6201	153.8469	435.6378	466.8416	64.6881	1118.8223	138.8773	315.1507	253.6741	465.9484	490.7771	189.9739	470.5802	441.2218	152.1239	519.0734
ARGDEG-PWY	127.793	74.3735	184.8016	0.0	35.1357	32.7592	0.0	0.0	248.0535	44.5557	0.0	0.0	23.1753	4.2529	0.0	75.1652	94.5049	0.0	11.5576	0.0	8.1157	123.2474	33.2249	0.0	11.1673	147.7237	72.1815	80.1385	13.1148	0.0	0.0	0.0	23.1665	0.0
ARGORNPROST-PWY	1869.9074	205.3119	129.1318	595.5262	138.3533	59.7834	196.255	47.4834	45.9935	9.4314	234.3037	61.177	155.4896	169.7559	88.8634	1860.88	1100.0288	81.3622	172.3909	36.4966	184.5408	568.9281	124.6134	150.7639	42.498	1592.1884	464.9427	264.7324	373.4564	90.8112	100.6485	217.6284	414.5218	134.1618
ARGSYN-PWY	2819.3522	2262.3619	1947.3809	808.135	386.1117	1886.6871	780.2254	187.3575	2277.4552	318.7937	325.1265	238.0449	296.3145	2501.8316	411.5051	2750.3351	2296.5898	279.7169	737.4915	221.8731	2289.2636	1210.09	521.9162	2688.7196	416.7259	2202.5102	1423.9148	868.0982	872.9361	298.6342	966.9824	2222.5531	629.6703	1100.9855
ARGSYNBSUB-PWY	2738.9263	1705.7758	1844.5605	781.5902	394.1924	1850.0865	798.6997	118.4666	1934.2989	265.5688	291.6363	236.8463	290.374	2140.4331	382.1612	2662.2272	2324.4532	269.399	762.3606	217.2118	2094.2079	1195.5139	630.6704	2686.343	309.7738	2245.2332	1684.4693	914.0352	913.5765	283.9855	902.2414	1999.0735	638.7686	1180.3779
ARO-PWY	4156.4111	3978.8018	2905.1257	1101.4394	471.4872	2971.2841	2281.0856	954.2544	2855.9092	398.3795	580.5653	534.2043	450.5886	4169.0699	1093.2004	4083.8389	3993.7844	1141.0199	1848.3235	621.3682	3400.8652	1830.9443	720.7159	3746.3243	725.0832	2426.4392	2027.7221	1247.8331	1619.9403	807.6158	3285.8669	3212.4209	732.6305	2173.4497
ASPASN-PWY	2609.7316	4973.639	2824.5727	739.8375	381.8448	2683.3968	1721.1965	1013.1621	3062.3213	463.2309	314.8947	394.9122	192.7058	4756.2984	780.1746	2420.9085	2420.5366	1108.8085	1300.7877	424.3261	3313.4224	1077.6927	449.7109	3276.6932	891.7486	1971.4774	1418.4438	923.6461	1128.6053	586.0124	3375.6455	3205.2177	554.7215	1578.8921
AST-PWY	340.8018	44.0	124.0	229.3	111.4992	20.0	0.0	0.0	175.0	32.0	29.5204	0.0	24.432	2.0	0.0	608.4629	73.1676	0.0	4.0	2.2222	4.0	127.9941	33.7255	0.0	6.0	1213.0781	94.4035	153.0953	4.2857	2.2222	0.0	0.0	278.4966	0.0
BIOTIN-BIOSYNTHESIS-PWY	1691.7395	4628.6263	1781.8141	626.434	396.8682	1465.9478	1505.1713	204.636	2026.5168	307.1169	200.2578	254.429	141.2113	4304.8843	250.8788	1991.4319	2305.4837	598.47	1118.8777	341.6579	3002.4553	735.7032	442.7911	1889.6946	819.6941	2018.8863	1337.7656	1050.0068	846.8177	413.8648	1767.7213	2725.1629	567.4515	1642.4287
BRANCHED-CHAIN-AA-SYN-PWY	3805.4013	4737.5263	3194.1989	1062.666	474.0606	3192.0263	2307.328	660.4573	3088.8588	435.5989	554.9455	497.7103	445.0238	4943.7357	1037.0321	4100.5578	4490.8473	1031.1466	1872.0424	600.0583	3811.502	1835.605	693.4008	3878.434	867.2685	2322.392	1889.6969	1285.9003	1482.774	786.483	2489.1597	3654.426	736.542	2187.8929
CALVIN-PWY	5273.8604	5224.528	3445.1877	1149.5788	489.757	3425.1785	2619.5297	1156.3132	3446.3979	486.9009	683.3521	568.6034	515.3589	5193.663	1218.4913	4326.1861	4600.5426	1394.1058	2088.2436	697.708	3913.978	2041.0771	718.1596	4205.6338	942.3418	2080.958	2138.6548	1402.2322	1884.2765	884.1209	3959.3696	3724.9617	671.6499	2321.0601
CATECHOL-ORTHO-CLEAVAGE-PWY	355.4049	0.0	0.0	208.9538	124.4504	0.0	0.0	0.0	2.0	0.0	16.9054	0.0	28.3516	0.0	0.0	590.2742	19.0456	0.0	27.0379	2.0	0.0	114.1218	283.2231	0.0	0.0	1098.1245	841.6862	187.4838	10.5043	2.0	0.0	0.0	246.1483	0.0
CENTFERM-PWY	196.1835	584.6478	629.224	10.1439	30.0848	532.865	38.9342	0.0	787.644	121.7001	58.2036	0.0	20.9687	473.9213	10.1738	160.0218	747.7146	6.9377	313.0242	12.9061	290.5114	209.0103	6.7352	223.8957	110.5855	56.1727	50.5158	76.9505	416.2421	51.2895	115.9233	434.9087	48.1637	70.6676
CHLOROPHYLL-SYN	562.8006	0.0	0.0	55.7912	68.6336	0.0	0.0	0.0	0.0	0.0	50.885	0.0	0.0	0.0	290.4897	249.1248	171.3503	15.5992	9.2294	0.0	0.0	9.2534	95.3732	0.0	0.0	138.5992	67.2292	146.0112	9.2083	0.0	0.0	0.0	53.8572	0.0
COA-PWY	4519.2655	4107.352	2746.0345	1021.83	414.4633	2833.8563	2279.1509	1175.0682	2773.6914	390.5474	605.5489	541.1687	479.2798	4199.0056	1092.0093	3824.0222	4052.7863	1301.1195	1820.5875	623.7836	3234.315	1887.5344	655.1858	3484.079	746.2901	1782.3246	1944.0123	1213.3783	1687.5969	813.0264	3900.4521	3037.9538	565.9637	2105.7068
