pathway	sequence	100CHE6KO	101CHE6WT	102CHE6WT	103CHE6KO	104CHE6KO	20CMK6KO	21CMK6WT	22CMK6KO	23CMK6WT	24CMK6KO	26CMK6WT	30CMK6KO	32CMK6KO	33CMK6WT	34CMK6KO	36CMK6WT	81CHE6WT	82CHE6WT	84CHE6KO	86CHE6WT	87CHE6KO	88CHE6KO	99CHE6KO	9CMK6KO
1CMET2-PWY	20e568023c10eaac834f1c110aacea18	26.1928	516.8843	228.719	147.9606	254.3341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.8291	23.6336	46.9756	2.9763	18.8374	3.0032	206.8465	0.0
1CMET2-PWY	23fe12a325dfefcdb23447f43b6b896e	81.6007	0.0	86.5154	93.246	93.5052	135.8	67.835	397.7477	369.2183	679.8238	178.4048	14.7422	35.1583	211.833	5.1741	503.6248	133.7164	192.7614	352.317	155.5135	197.0491	95.3527	93.3822	476.2932
1CMET2-PWY	288c8176059111c4c7fdfb0cd5afce64	25.6891	22.495	14.6678	17.7244	23.4386	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	15.6874	27.3263	28.1364	20.8343	23.7946	13.014	41.6705	0.0
1CMET2-PWY	2a45f0b7f68a35504402988bcb8eb7fe	0.0	0.0	0.0	0.0	0.0	50.0184	14.9088	170.1059	36.3568	264.8977	170.4757	33.1053	266.2657	222.7727	60.1186	181.5643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	69.3131
1CMET2-PWY	343635a5abc8d3b1dbd2b305eb0efe32	16.1187	6.2486	3.2319	6.6788	17.205	6.2523	11.927	6.5041	9.5805	13.4857	19.3272	7.5004	5.3909	5.9671	5.4205	5.2836	20.9165	13.5401	16.3925	26.0429	27.5125	26.2783	20.0822	3.0442
1CMET2-PWY	40c2346925c479d2f90d76aea73b0975	0.7556	4.7489	0.0	0.0	1.7454	16.7562	8.9453	87.8047	5.65	85.0081	38.1588	2.0691	2.3439	35.8028	2.2175	62.9231	7.7192	5.6622	6.8506	1.2401	1.4872	1.7519	5.7736	33.0174
1CMET2-PWY	48292bb527301239168556057a7805bb	0.0	0.0	0.0	0.0	0.0	34.0125	40.0052	59.2869	37.8308	53.9428	28.4952	54.8307	11.0163	40.2781	12.073	26.6583	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.4991
1CMET2-PWY	48634a509c9db2a42174d1920e5c3999	73.5414	80.9819	227.7245	10.275	0.0	441.1624	93.4284	170.1059	77.6267	471.0363	342.9337	4.1382	0.0	207.8549	1.9711	104.7117	12.9483	39.3893	36.2104	165.6826	243.8947	11.0119	15.0616	298.7955
1CMET2-PWY	5c5f6d5a2d45a21bc576e475985efa17	8.8149	14.4968	6.2152	22.3482	25.6828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.6477	31.0191	40.125	19.5942	38.1705	30.7832	18.576	0.0
1CMET2-PWY	663baa27cddeac43b08f428e96650bf5	28.2077	7.2484	11.1873	8.9907	18.701	70.776	107.3432	134.0835	214.4561	197.2284	92.1758	118.1963	116.0225	102.1871	83.2791	132.8109	6.9722	8.124	6.6059	21.8265	18.5895	18.2697	28.3661	52.219
1CMET2-PWY	691eeed271e420c8e7a91d5ea0cf5431	26.9484	33.7424	25.358	17.2107	45.6305	1.2505	1.2424	0.0	2.9479	0.0	5.2035	0.0	0.0	0.0	0.0	1.441	23.6556	16.7405	26.4238	43.6529	39.9055	28.5307	32.1315	5.8541
1CMET2-PWY	6d5af1db8934361889a6fb8d80c70836	77.5711	60.4865	46.4896	54.9715	84.5287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	65.9867	40.8664	46.9756	67.4636	62.4608	71.0766	96.6455	0.0
1CMET2-PWY	749f091c6dfc58f7a48d89cf4c0f3049	56.6672	0.0	5.2208	42.3845	17.205	10.5039	68.5804	15.7598	14.0023	124.9836	81.0255	113.2823	26.0172	11.9343	51.0023	9.3664	60.5086	8.8626	7.3399	20.0903	17.1024	130.6408	98.6537	15.4549
1CMET2-PWY	763af2e6cfd1d573893fa6d28aafc4b5	22.415	27.4938	22.6233	23.8895	35.4073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4066	12.8015	11.4992	25.5469	29.4954	18.0194	26.6089	0.0
1CMET2-PWY	7e5d7cc681f5a0c25e0816a77d59ffb2	2.5185	6.4985	4.2263	4.8806	6.2337	9.5035	11.927	24.015	7.6153	26.4898	11.8937	21.984	18.0479	9.448	13.7977	13.209	11.2053	9.355	11.9886	5.7046	5.9487	2.5027	9.539	8.8983
1CMET2-PWY	86681c8e9c64b6683071cf185f9e3419	180.3276	174.7109	101.4319	148.9881	238.8746	284.3546	448.7544	539.8362	456.4256	472.9628	257.9436	491.1484	126.57	426.6496	153.9923	315.5761	217.1336	188.5763	170.0419	276.3031	255.2963	213.2298	291.1917	199.5093
